business_id,name,address,city,stars,review_count,category_type
7yTtTjsZLi5Ef1vsr6ZPTw,"""Panera Bread""","""9995 W Mcdowell Rd""",Avondale,2.5,75,Restaurants
u-SvRRAfYgpbXZRfQgcTzA,"""Imadake""","""4006 Rue Sainte-Catherine O""",Montréal,4.0,231,Restaurants
QA-vE43hE0Rd1CQgBboyNA,"""In N Out Pita""","""10520 Yonge Street, Unit 38B""",Richmond Hill,3.5,17,Restaurants
nA4jm1nIdSXZTKd5TYH79A,"""The Works Gourmet Burger Bistro""","""2245 Bloor Street W""",Toronto,3.5,58,Restaurants
6wZdg1ursk12C3CTnF0gcg,"""Ruby's Mediterranean Cuisine""","""1 Eglinton Square""",Scarborough,4.5,21,Restaurants
8b4amK9y5miP6-UzfH5K0A,"""Conviction""","""609 King St W""",Toronto,3.5,3,Restaurants
XBDe0pFAw1B32tpAQN5t2g,"""holts café""","""50 Bloor Street West, Fl 2""",Toronto,3.5,38,Restaurants
nF5TXLMmC6IJgQxE9CEZPw,"""Sun Penang""","""5829 Forbes Ave""",Pittsburgh,3.0,148,Restaurants
8v7nrjG5K0cMleIP4Kit-w,"""Ten23""","""3100 Steeles Avenue E, Unit 102""",Markham,3.0,32,Restaurants
AYe8rS3qBPuLHSwNOZSbcA,"""Sushi Loca""","""10965 Lavender Hill Dr""",Las Vegas,3.0,229,Restaurants
aiX_WP7NKPTdF9CfI-M-wg,"""Culinary Dropout""","""149 S Farmer""",Tempe,4.0,984,Restaurants
ObV7olsEsNYjuMGNJ75jNw,"""Vaqueros Carne Asada""","""2602 W Southern Ave""",Tempe,3.5,17,Restaurants
tSbs8i_9Hlaommupjgn63Q,"""Panda Express""","""4416 E Bonanza Blvd""",Las Vegas,3.0,14,Restaurants
RFj91Y9mk2d824QyD9JTzA,"""Firehouse Subs""","""1616 S Stapely Dr, Ste 101""",Mesa,3.5,33,Restaurants
bu4hyEunQWhCrNDwpb1Nxw,"""McCarold's""","""5400 Chemin de la Côte-des-Neiges""",Montréal,3.5,50,Restaurants
Fbycyr3KEjDQ4wO9AStmvQ,"""Cafe Sam""","""5242 Baum Blvd""",Pittsburgh,4.0,70,Restaurants
LCb2moBNkcBto_32rmZJ5A,"""Echo Sushi""","""2036 Yonge Street""",Toronto,4.0,147,Restaurants
JKis0v-LqK_u0p4SVhJNDw,"""Herbie West End""","""7 William Street""",Edinburgh,4.0,5,Restaurants
IDW4QFw-fN_wk81G9OV-Mg,"""Nothing But Noodles""","""1605 Elizabeth Ave""",Charlotte,4.0,75,Restaurants
0UuE9LZE-oVZe1HfIhomBw,"""Gualdieri""","""2016 Boulevard René Laennec""",Laval,4.5,5,Restaurants
SSCH4Z2gw-hh2KZy7aH4qw,"""Worth Takeaway""","""218 W Main St""",Mesa,5.0,336,Restaurants
Q_RpxG-YEMOk_yniWZfHCA,"""Bojangles' Famous Chicken 'n Biscuits""","""5525 E Independence Blvd""",Charlotte,3.0,3,Restaurants
QDjGBiTGHr1Nh2Bo8CzFyg,"""Kojax Souvlaki""","""3238 Boulevard Saint-Martin O""",Laval,4.5,3,Restaurants
Jd2NUZeVeyWi1tTNKXMt1Q,"""Sí Señor Restaurant""","""600 N Alma School Rd""",Chandler,4.0,398,Restaurants
sp0kp2ZWmO0a6CcK-SGd-Q,"""Mon Nan""","""43 Rue De La Gauchetiere E""",Montréal,3.5,34,Restaurants
rhgD-j_jWwwqd94lvA-ZpA,"""M & B Yummy""","""1263 Queen St W""",Toronto,4.0,26,Restaurants
uIbZjRRqR1OR-t2NBCa1Wg,"""Pizza Hut""","""5255 S. Decatur Blvd., #113""",Las Vegas,2.5,32,Restaurants
_FgODqQclua0klHLsFBmMg,"""Deep Sea Carry-Out""","""2 Antigua Street""",Edinburgh,4.0,13,Restaurants
2zd-1R3CdnaMDXTAEVa2Qg,"""Bom Apetite Churrasqueira""","""1176 The Queensway""",Toronto,2.5,9,Restaurants
z5V7wTtLB2QYCUWlB4rNLQ,"""Nak Won Restaurant""","""8362 Kennedy Road""",Markham,2.5,13,Restaurants
OlSpcJY_nXqWbdwdg4SNvA,"""Global Imperial Cuisine""","""23 Glen Watford Drive, Suite 9""",Toronto,3.0,28,Restaurants
G3OeHF5jrHvNqi4o3aNezQ,"""Edward Street Bistro""","""14785 Yonge Street""",Aurora,3.0,14,Restaurants
bEVWHtBRYVwqaaNF4mWNYg,"""Coquine Restaurant""","""2075 Yonge Street""",Toronto,4.0,122,Restaurants
_9VQUKCkYWHfUTnxbn4O_A,"""Tom's BBQ""","""1140 S Country Club Dr""",Mesa,3.5,88,Restaurants
GisIy4El3OAxJwnkovgv_A,"""Hot Dog on a Stick""","""4300 Meadows Ln""",Las Vegas,3.0,20,Restaurants
MnagM9zYrvAssGpmAiFq2A,"""People's Chicken""","""744 Mt. Pleasant Rd""",Toronto,2.5,3,Restaurants
pyqnGlIfP9Zw8LLxBjyAiA,"""Nobu""","""3570 Las Vegas Blvd S""",Las Vegas,4.0,840,Restaurants
NoDhna4BsDhcl7xRPmZJzQ,"""Nama Sushi""","""750 St. Clair Avenue W""",Toronto,4.0,32,Restaurants
CvP516pjOdcJJkaMjl8rPw,"""China Kitchen II""","""5607 Turney Rd""",Cleveland,3.5,10,Restaurants
fmgGNZyZfeCU8fug5LnpjQ,"""Il Fornello""","""2024 Queen Street E""",Toronto,2.5,15,Restaurants
_QvGAqMmrUIlxpby2Ul5Dg,"""Dona Maria Tamales Restaurant""","""3205 N Tenaya Way""",Las Vegas,3.5,242,Restaurants
MPjwZL8DHKCEbFw8LYiAIA,"""Subway""","""1343 W Liberty Ave""",Pittsburgh,3.0,3,Restaurants
A5Jeg55tDoyUTUonkVOpdg,"""Pagaille Café""","""101 Rue Villeneuve O""",Montréal,4.5,18,Restaurants
kQ9gVGp5R_jZwLi0-q8PZQ,"""Hey Meatball""","""912 Queen Street  E""",Toronto,4.0,61,Restaurants
JKTMgelIQ-VHn7SL5nyiWA,"""Buddha Thai Bistro""","""9400 S Eastern Ave, Ste 106B""",Las Vegas,4.5,86,Restaurants
gtfLQysuCBEAQk3wwWxwTg,"""Viva Napoli""","""679 Mt Pleasant Road""",Toronto,3.5,67,Restaurants
C4XsC2ZBtsl1EgjdVue3yA,"""Pinoy Pinay Filipino Restaurant""","""1217 E Sahara Ave""",Las Vegas,3.5,114,Restaurants
qCTuGaciae73u7C57s2_0Q,"""Poonam Delite""","""2658 Danforth Avenue""",Toronto,3.5,19,Restaurants
QSJstyODnh3mtBMvkvvzzg,"""Tat Burger""","""1118 College Street""",Toronto,3.0,14,Restaurants
UscHTL4dosXCsya15keQqQ,"""Spicy & Sweet""","""645 Saint Clair Avenue W""",Toronto,2.5,11,Restaurants
WaTXG26xbOGffSscvyr-wQ,"""Spasso Pizza & Mozzarella Bar""","""4743 N 20th St, Ste A22A""",Phoenix,3.5,38,Restaurants
sQyX5VeAMPrxD9D3XH9HhQ,"""Miyamoto- Epicerie Japonaise""","""382 Avenue Victoria""",Westmount,4.5,9,Restaurants
ahfAFuFHO9tfFkoBIkVdmg,"""Zabari Mediterranean Grill""","""3831 E Thunderbird Rd, Ste 3""",Phoenix,4.5,95,Restaurants
fi6s29AbDqLjoQ1LSe5lrg,"""Michael's Back Door Restaurant""","""1715 Lakeshore Road W""",Mississauga,3.5,34,Restaurants
VmSrPPO2WXmOKjUW7pDGsQ,"""Mega Tom's Burgers""","""2893 W Lake Mead Blvd""",North Las Vegas,3.0,133,Restaurants
Ycqaz47uwQj6IbOLxlfszA,"""Sbarro Italian Eatery""","""7700 W Arrowhead Towne Ctr""",Glendale,2.0,9,Restaurants
LpGCzgAKNSpzDNEUMVVtZA,"""Grimaldi's Pizzeria""","""7155 S Rainbow Blvd, Ste 125""",Las Vegas,4.0,459,Restaurants
NRQSeBoEyFpiGJDf3ebtyA,"""Basha - Des Sources""","""3339 Boulevard des Sources""",Dollard-des-Ormeaux,3.0,6,Restaurants
SWY1IUjGqJpKwZpPqfUzmg,"""Ficelle Vin, Bulle & Foie Gras""","""4517 St-Denis""",Montréal,3.0,4,Restaurants
cf7sazfGpGbpXbVoCgxlmQ,"""Swiss Chalet Rotisserie & Grill""","""1455 Dundas St East""",Mississauga,2.5,8,Restaurants
udet1D1MNcKsR6n7fBpAyg,"""Orchard Family Restaurant""","""2550 Hurontario Street""",Mississauga,3.5,44,Restaurants
EX60HoNJRs3ALidmEGDgWA,"""Jimmy John's""","""350 E McCullough Dr""",Charlotte,4.0,33,Restaurants
yhcgONZE_flFHrTEM60o3g,"""Barro's Pizza""","""1066 N Power Rd""",Mesa,4.0,10,Restaurants
l3SBg8iCNN_4-dnV0Wk4fg,"""Brew 133""","""13368 Madison Ave""",Lakewood,3.0,11,Restaurants
etylBefPKEMjm9nS9c1qiw,"""Port of Subs""","""1342 W Warner Rd""",Tempe,2.5,36,Restaurants
TAoN9nsibXOxsOnnG7Kd_g,"""Riazzi's Italian Garden""","""2700 S Mill Ave""",Tempe,3.5,141,Restaurants
ueml2dPvs0ixOYyyNt0OLg,"""Greyfriars Pub""","""231 Oak Park Blvd""",Oakville,3.5,5,Restaurants
T9QjpTZPcWEa3i96tdLHbw,"""Cuco's Mexican Restaurant""","""1050 N Edge Trl""",Verona,3.0,47,Restaurants
CwRPGB3WzV3IE4IukRFI2g,"""Pizza Hut""","""8800 Pineville Matthews Rd""",Charlotte,2.0,11,Restaurants
Ndozr_--5-wzyDJ2T7TfpQ,"""A & J Chicago Style Bar-B-Q""","""6102 N 16th St""",Phoenix,3.0,9,Restaurants
TwriSG0Gq9vr7n_Re1OR1A,"""The Nile Cafe""","""7051 E McDowell Rd""",Scottsdale,4.0,14,Restaurants
IT0IODInyhKbG4a_ka71MQ,"""Oregano's Pizza Bistro""","""37645 Cave Creek Rd""",Cave Creek,3.5,190,Restaurants
gPzDw2Ms6JZRZhA2tyxItw,"""Burger King""","""3355 S Maryland Pkwy""",Las Vegas,2.5,11,Restaurants
GcA4laq0bKWDC6-50ATs1w,"""Beau's On The River""","""1989 Front St""",Cuyahoga Falls,3.5,47,Restaurants
vMkEiN96N2sv_Wla9xFsNQ,"""The Deli""","""324 Morningside Road""",Edinburgh,4.5,3,Restaurants
NihPkBRdA1AixuE_98tIrg,"""Port of Subs""","""635 E Indian School Rd, Ste 102""",Phoenix,3.0,31,Restaurants
c78Pat78fVUBFPXYeVvbaQ,"""Odd Seoul""","""90 Ossington Avenue""",Toronto,4.0,223,Restaurants
dgStCncJmIUd5BA8eYAsSQ,"""Caffe Piccolo""","""29 Grassmarket""",Edinburgh,3.0,5,Restaurants
29o-qEDIRpXmVmSPNsH4sA,"""Vin Santo""","""7462 Hubbard Ave""",Middleton,4.0,109,Restaurants
RQdKieW9hqg898d_S2WwRA,"""Yogis Grill""","""1645 E Camelback""",Phoenix,3.5,87,Restaurants
go_uJsNgk2WCRtl5m-v72g,"""Olive Garden Italian Restaurant""","""25984 Lorain Rd""",North Olmsted,3.5,39,Restaurants
ST2dx1ybHofbQhEDV7iAWQ,"""Bistro Sanguinet""","""308 Rue Sainte-Catherine E""",Montréal,2.5,5,Restaurants
4KZRFxciaKfTD7qbS55b7g,"""Fabio On Fire""","""8275 W Lake Pleasant Pkwy, Ste 101""",Peoria,4.5,132,Restaurants
mDtlBsfTUPDuASvUcKWSbw,"""L&L Hawaiian Barbecue""","""6118 W Flamingo Rd""",Las Vegas,4.0,65,Restaurants
X184O0qgC5MKvePbsSe-nA,"""Sushi On the Run""","""444 Yonge Street""",Toronto,3.5,19,Restaurants
vJaL_UtIRkpmczGrwLSs1Q,"""Burger 21""","""2855 W Ray Rd""",Chandler,3.5,122,Restaurants
XHt5luPZl7jYZrF56Rnp0Q,"""Halibut House""","""3003 Danforth Avenue""",Toronto,3.5,5,Restaurants
kaVWvc71cXH9MKuQmDtVUA,"""Pho Thai Binh""","""4631 W Spring Mountain Rd""",Las Vegas,3.0,12,Restaurants
5CNZG9BRzI3IsSmPjpg2Xw,"""O Corisco Restaurant""","""9587 Weston Road""",Woodbridge,2.0,3,Restaurants
X4w6_iAqN8ZqZ15a7YWPgw,"""Mr Brews Taphouse""","""5271 High Crossing Blvd""",Madison,3.0,34,Restaurants
n5wZxYrle8ROuK-Saq-yyw,"""Luisa's Brick Oven""","""1730 Abbey Pl""",Charlotte,4.0,93,Restaurants
Y7wIhT6UvCukRYTTS5ErFQ,"""Le Trou Normand Restaurant""","""90 Yorkville Ave""",Toronto,2.5,10,Restaurants
mGp_u4o32WwqejkGbcZByA,"""Hong""","""21 Argyle Place""",Edinburgh,3.5,9,Restaurants
Lv2V5KqRlCl7_S6LKWkGlg,"""Devil's Greens""","""206 E Taylor St""",Phoenix,3.0,9,Restaurants
cOWXtCz7F9GQhPIks8gm6Q,"""SOLO Trattoria""","""2501 E Camelback Rd, Ste 24""",Phoenix,4.5,268,Restaurants
7m1Oa1VYV98UUuo_6i0EZg,"""Paradise Valley Burger Company""","""4001 E Bell Rd""",Phoenix,4.5,1019,Restaurants
hJgdrSbwhkp3-GbAyS79Gg,"""Pit Boss BBQ""","""1600 N Martin Luther King Blvd""",Las Vegas,4.0,11,Restaurants
77N3luh2YzfJFJGFIfqqbw,"""Duke's Upper Deck Cafe""","""122 W 8th Ave""",Homestead,3.5,50,Restaurants
QWonnnAnTQatTdAMCdacDA,"""Sonic Drive-In""","""17181 W Greenway Rd""",Surprise,3.5,5,Restaurants
vAuzGR-ufeLu3Y_U5UlO_w,"""Stick E Rice""","""2544 E Desert Inn Rd""",Las Vegas,4.0,53,Restaurants
xVmBc0jyYkb9rjz6X9BPiQ,"""Hoang Oanh Sandwich""","""1071 Boul Saint-Laurent""",Montréal,3.5,24,Restaurants
U8yokFD3LyLpw9Eyndv2ig,"""Sachi Sushi""","""1122 Dorval Drive""",Oakville,4.0,18,Restaurants
2alo9GzeOsbg4jeKYFQmxQ,"""Santo's Pizza & Pasta""","""7565 Pearl Rd""",Cleveland,4.0,61,Restaurants
BNeS_hZfmdQWsqewj-LuDA,"""Ting's Kitchen""","""3200 McIntyre Square Dr""",Pittsburgh,4.5,52,Restaurants
kkvhQBT1Oh73sVSYZMXeDA,"""McDonald's""","""9505 South Blvd""",Charlotte,1.0,8,Restaurants
-voRkfS42YKYsrJ9DV0FxQ,"""Panda Express""","""2434 E Baseline Rd, Ste 101""",Phoenix,2.5,28,Restaurants
Jpyh7MfaNysY3geXjhzqJQ,"""CHAR Pizzeria Napoletana""","""25101 N Lake Pleasant Pkwy, Ste 1325""",Peoria,4.0,185,Restaurants
htUK5uwiYlKB4coz8-b1XQ,"""La Frontera""","""1925 Westinghouse Blvd""",Charlotte,4.0,7,Restaurants
ZVtjS8Hvq2a6SxHxlehPGg,"""L'Amore Italian Restaurant""","""3159 E Lincoln Dr""",Phoenix,4.5,159,Restaurants
npWIa3dIPEV1MTaZNq6AUA,"""Firebirds Wood Fired Grill""","""7716 Rea Rd""",Charlotte,4.0,261,Restaurants
XAKZ6ADzAvK_IaFojW4wpA,"""La Jawab Grill""","""160 New Delhi Drive, Units 28-29-30""",Markham,3.0,28,Restaurants
Izd-To33XTMnjM19XRonhw,"""Amigo""","""1027 Boulevard Saint-Laurent, 2e étage""",Montréal,4.0,40,Restaurants
39BNnMLzx0UUwkWKxGeQKA,"""La Cosina Mexican Restaurant""","""7320 Las Vegas Blvd S, Ste 110""",Las Vegas,4.0,27,Restaurants
gh0mBl_SBZ6kX9mYMq-R5g,"""Syogun Japanese Cuisine""","""8261 Woodbine Avenue""",Markham,3.0,118,Restaurants
qMJyOW1FdPOf8sli8DIq_A,"""Délice Bistro""","""690 S Mill Ave""",Tempe,3.5,174,Restaurants
j4170xdQJTwSvXFpsQzWtg,"""Rincón Criollo""","""6504 Detroit Ave""",Cleveland,3.5,64,Restaurants
TvDsoVbGEGtXBCaVcICKVA,"""Pub'n Grub""","""2815 S Alma School Rd, Ste 101""",Mesa,4.0,63,Restaurants
nHFJtud7jWZhM9dHQ1eIRA,"""Buk Chang Dong Soon Tofu""","""691 Bloor Street W""",Toronto,4.0,381,Restaurants
GmLkyWb_zYrTEp1SpWxHIA,"""Julia Baker Confections""","""Biltmore Fashion Park, 2502 E Camelback, Ste 130""",Phoenix,4.5,71,Restaurants
6WWXpMwIB7gTc4yZrkM-fQ,"""Hot Dog On A Stick""","""3850 Las Vegas Blvd S""",Las Vegas,3.5,17,Restaurants
uuuNWBNHdYk8EOwjxmI8OA,"""Randy's Take-Out""","""1569 Eglinton Avenue West""",York,4.5,49,Restaurants
nwHd2MbIGz0SNG8GpFjekw,"""Los Taquitos""","""7000 N 16th St""",Phoenix,4.0,334,Restaurants
jfOyDJ-W4lV47Y61pPcMfQ,"""Etat-Major""","""4005 rue Ontario Est""",Montréal,4.5,26,Restaurants
XIg92ukZJn_1aiNx0OmusQ,"""Restaurant Greenspot""","""3041 Notre-Dame Rue O""",Montréal,4.0,57,Restaurants
HQ9pQM_ue_bMLnkwoSZ80w,"""Homestyle Caribbean""","""3331 Markham Road, Suite 120""",Toronto,4.0,5,Restaurants
wYFQMJytgwoMuan0Aa4ByA,"""Ivory Thailand""","""81 Church St""",Toronto,3.5,11,Restaurants
mnI_n7A8sxgOSmtgI3wzQQ,"""Amazing Cafe""","""1506 E Carson St""",Pittsburgh,4.5,96,Restaurants
_PKa6Dj06Q2AHKGkpJ7GnA,"""Z-Best BBQ""","""1315 5th Ave""",Pittsburgh,4.5,28,Restaurants
KiP4NjelCHqNAf36JxXUQQ,"""Il Fornello""","""2901 Bayview Avenue""",North York,3.0,53,Restaurants
gtVPsVK83JkeyrN1C1ozeQ,"""Pizza Lotto""","""600 E Fremont St""",Las Vegas,4.0,72,Restaurants
J0YWF-bOcMKuSWg36GAq9g,"""Venice MTL""","""440 Rue Saint-Francois-Xavier""",Montréal,3.5,67,Restaurants
j0aiaJkrU-5VgbCsdx-txg,"""Chris Jerk Caribbean Bistro""","""2570 Birchmount Road""",Toronto,4.5,217,Restaurants
T-KniGykrZ46ZC9plOTspw,"""PHX Burrito House""","""4140 N 7th Ave""",Phoenix,4.5,460,Restaurants
c93AzlUc_j0C-lkWBG92Sw,"""Sushi Shop""","""65 Front St W""",Toronto,4.5,12,Restaurants
ls9OapWdKvheW60_qq54Vw,"""Blue Wasabi Sushi and Martini Bar""","""Hilton Village, 6137 N Scottsdale Rd""",Scottsdale,3.5,65,Restaurants
csn2S8XIZUCnNYfLRSIO0A,"""Tangerine Asian Cuisine""","""12260 Yonge Street, Unit 5""",Richmond Hill,3.0,34,Restaurants
AnXovUgUHJap3QaDRnjL1w,"""Blueberry Hill Family Restaurant""","""3790 E Flamingo Rd""",Las Vegas,4.0,331,Restaurants
bsFZnc2mYyGy5cFf5EWTWg,"""Aji Sai Japanese Restaurant""","""467 Queen Street W""",Toronto,3.0,254,Restaurants
lJU19A8gxyNT1gU8y4pv1w,"""Hatfield's Goode Grub""","""16700 Lorain Ave""",Cleveland,4.5,47,Restaurants
4XGjbI2Ggi-kdgt9eZR83w,"""World Buffet""","""2451 W Broadway""",Monona,2.5,41,Restaurants
BIl12Kgh-3FJMQdQv1H-Ug,"""Turf Lounge""","""330 Bay Street""",Toronto,3.5,24,Restaurants
yZ_wpRr4Svw8YRZ9voCgIw,"""The Vandal""","""4306 Butler St""",Pittsburgh,4.0,148,Restaurants
1xLJGxAv4qLIQF2IhJjBvQ,"""The Place To Be""","""5751 Smith Rd""",Brook Park,4.0,22,Restaurants
9y1uLUHxZ3m_4KzydQj9YQ,"""Wingstop""","""4041 E Thomas Rd""",Phoenix,3.0,30,Restaurants
U6Jf5-cUyxkMbXdxLLq6IA,"""Juliette & chocolat""","""377 Avenue Laurier Ouest""",Montreal,3.5,54,Restaurants
p5rpYtxS5xPQjt3MXYVEwA,"""Greens and Proteins""","""8975 S Eastern Ave""",Las Vegas,4.0,635,Restaurants
Z1HnNAGBt0y9uZX1a1_9sQ,"""Subway""","""7500 W Lake Mead Blvd, Ste 8""",Las Vegas,3.0,14,Restaurants
2UCXCbv7qaO3d8FfQd4Ing,"""Pizza Bellino""","""5839 Forbes Ave""",Pittsburgh,3.0,62,Restaurants
MFEFshl-YZ1lsbtOd8xA-Q,"""Kaleidoscope Juice""","""4014 Goldwater Blvd""",Scottsdale,4.5,44,Restaurants
4STzP1q1uM8ONkKookifsw,"""Nan Zhou - Hand Drawn Noodle House""","""111 S Dobson Rd""",Mesa,4.0,122,Restaurants
9_1N2SoNoS3DGV9V-4kndw,"""Craftwork Kitchen""","""600 Grant St""",Pittsburgh,4.0,23,Restaurants
sjzNO9hLHSNAixdwtb_RQg,"""Rally's""","""1050 W Chandler Rd""",Chandler,2.5,11,Restaurants
yv8m3r2v3xQtDCYnwJa99Q,"""Nando's""","""71-73 Lothian Road""",Edinburgh,4.0,34,Restaurants
QAN6zr-IzPD04G9clSGtBw,"""Dragon Gate Restaurant""","""8701 Brookpark Rd""",Cleveland,3.0,4,Restaurants
mjhwLcuoenVW8oFhcNmlHA,"""Claim Jumper""","""1100 S Fort Apache Rd""",Las Vegas,3.0,306,Restaurants
